Sampling point	Site	Site_point	Richness	Shannon	x	y	Maturity Index [MEAN]	Plant Parasitic Index [MEAN]	Enrichment Index [MEAN]	Structure Index [MEAN]	Total number, ind [MEAN]	Herbivores, % of total	Fungivores, % of total	Fungivores, % of free-living	Bacterivores, % of total	Bacterivores, % of free-living	Predators, % of total	Predators, % of free-living	Omnivores, % of total	Omnivores, % of free-living	Sedentary parasites, % of herbivores	Migratory endoparasites, % of herbivores	Semi-endoparasites, % of herbivores	Ectoparasites, % of herbivores	Epidermal/root hair feeders, % of herbivores	Algal/lichen/moss feeders, % of herbivores	CP 1, % of free-living	CP 2, % of free-living	CP 3, % of free-living	CP 4, % of free-living	CP 5, % of free-living	PP 2, % of herbivores	PP 3, % of herbivores	PP 4, % of herbivores	PP 5, % of herbivores	Rich_bact	Rich_fung	Rich_herb	Rich_omn	Rich_pred	Div_bact	Div_fung	Div_herb	Div_omn	Div_pred
JIM30--10	JIM	JIM3010	23	2.598901449	59.111	90.902	2.84	2.5	32.79	79.5	17.92	10	35	38.9	41	45.6	1	1.1	13	14.4	0	0	0	100	0	0	0	45.6	27.8	23.3	3.3	50	50	0	0	11	4	3	4	1	1.90454071	1.333465512	0.943348392	1.332244922	0
JIM30-20	JIM	JIM3020	24	2.556735434	55.248	81.537	2.84	2.85	43.33	77.52	16.17	33	34	50.7	23	34.3	2	3	8	11.9	0	42.4	3	51.5	3	0	1.5	50.7	14.9	28.4	4.5	15.2	84.8	0	0	9	3	5	5	2	1.892014546	0.340607049	1.198437207	1.494175138	0.693147181
JIM30-30	JIM	JIM3030	16	1.910807167	50.971	72.454	2.56	3.36	48.51	66.01	22.4	14	61	70.9	20	23.3	4	4.7	1	1.2	0	7.1	14.3	78.6	0	0	0	60.5	23.3	16.3	0	0	64.3	35.7	0	6	3	5	1	1	1.227529411	1.134525042	1.47013192	0	0
JIM30-40	JIM	JIM3040	23	2.521309402	47.183	62.95	2.76	2.73	45.16	76.51	21.17	30	36	51.4	24	34.3	6	8.6	4	5.7	0	13.3	0	86.7	0	0	0	48.6	27.1	24.3	0	33.3	60	6.7	0	10	3	5	2	3	2.081316839	0.391389243	1.362447485	0.693147181	1.011404265
JIM30-50	JIM	JIM3050	19	2.023980896	43.403	53.703	2.6	2.32	46.67	65.78	21.8	25	58	77.3	16	21.3	0	0	1	1.3	4	0	0	92	4	0	0	64	12	24	0	68	32	0	0	10	3	5	1	0	2.166084939	1.507373187	1.01439677	0	0
JIM40-0	JIM	JIM400	28	2.749268376	53.403	101.735	2.86	2.2	38.98	81.03	22.61	15	25	29.4	41	48.2	8	9.4	11	12.9	0	0	0	86.7	13.3	0	0	42.4	32.9	21.2	3.5	80	20	0	0	12	3	4	4	5	2.234547594	0.818089502	0.988154225	1.342113179	1.494175139
JIM40-10	JIM	JIM4010	27	3.095800618	50.949	94.051	2.76	3	63.74	83.35	12.99	9	30	33	47	51.6	3	3.3	11	12.1	0	0	0	100	0	0	11	36.3	25.3	20.9	6.6	0	100	0	0	14	4	3	3	3	2.46462831	2.182914598	0.936888307	0.994923633	1.098612289
JIM40-20	JIM	JIM4020	23	2.601951036	46.08	85.095	3.09	2.79	44.23	85.59	6.67	24	29	38.2	26	34.2	6	7.9	15	19.7	16.7	0	0	83.3	0	0	0	38.2	23.7	28.9	9.2	20.8	79.2	0	0	7	3	5	4	4	1.683231544	0.214814754	1.421245689	1.362447485	1.242453324
JIM40-30	JIM	JIM4030	19	2.382898754	41.286	76.34	2.82	2.33	44.19	80.45	20.23	43	28	49.1	21	36.8	4	7	4	7	0	9.3	0	83.7	7	0	0	42.1	33.3	24.6	0	67.4	32.6	0	0	5	4	5	2	3	1.359236701	0.639596761	1.166471023	0.693147181	1.039720771
JIM40-40	JIM	JIM4040	27	2.75699978	38.194	66.31	2.88	2.7	37.5	81.85	30.39	27	26	35.6	41	56.2	1	1.4	5	6.8	0	37	0	63	0	0	1.4	41.1	27.4	28.8	1.4	29.6	70.4	0	0	16	3	4	3	1	2.517020496	0.45752572	1.210765918	0.950270539	0
JIM40-50	JIM	JIM4050	23	2.367528922	34.644	56.801	2.91	2.5	48.68	81.63	46.49	10	50	55.6	25	27.8	11	12.2	4	4.4	0	0	0	60	40	0	1.1	43.3	25.6	23.3	6.7	50	50	0	0	10	2	6	2	3	2.110556539	1.620691655	1.609437913	0.693147181	1.036198785
PIC10-0	PIC	PIC100	24	2.362109308	21.01	69.176	2.32	2.59	47.12	49.54	24.19	27	38	52.1	25	34.2	3	4.1	7	9.6	0	25.9	3.7	48.1	14.8	7.4	4.1	75.3	8.2	9.6	2.7	40.7	59.3	0	0	9	3	6	3	3	1.977562903	0.557158005	1.620445579	1.078992208	1.098612289
PIC10--10	PIC	PIC1010	21	2.164698057	31.051	68.433	2.46	2.69	47.37	57.26	18.32	32	41	60.3	14	20.6	3	4.4	10	14.7	0	37.5	9.4	53.1	0	0	1.5	73.5	10.3	7.4	7.4	31.3	68.7	0	0	7	2	6	3	3	1.63134542	0.046228851	1.435061468	1.029653014	1.098612289
PIC10--20	PIC	PIC1020	15	1.774473175	39.016	67.499	2.26	2.91	47.54	39.62	32.12	22	58	74.4	11	14.1	2	2.6	7	9	0	0	63.6	13.6	9.1	13.6	0	82.1	10.3	7.7	0	27.3	63.6	0	9.1	3	4	5	2	1	0.994923633	0.832635635	1.135804808	0.682908105	0
PIC10--30	PIC	PIC1030	20	2.003765723	48.781	67.268	2.13	2.39	46.21	22.83	20.49	23	62	80.5	14	18.2	0	0	1	1.3	0	4.3	21.7	69.6	4.3	0	0	92.2	3.9	2.6	1.3	60.9	39.1	0	0	7	5	7	1	0	1.820075976	0.470311472	1.384371892	0	0
PIC10--40	PIC	PIC1040	23	1.698614465	58.027	67.021	2.3	2.79	49.29	44.2	35.83	14	66	76.7	12	14	1	1.2	7	8.1	0	0	57.1	14.3	0	28.6	1.2	82.6	5.8	5.8	4.7	35.7	57.1	0	7.1	8	5	5	4	1	1.979204517	2.317639112	1.376055285	1.153741943	0
PIC20-00	PIC	PIC200	24	2.256231219	18.584	58.834	2.4	2.6	44.34	52.99	7.69	20	49	61.2	18	22.5	5	6.3	8	10	0	10	5	85	0	0	0	73.7	12.5	13.7	0	40	60	0	0	8	4	6	3	3	1.801951141	0.223463624	1.565730653	0.974314753	0.95027054
PIC20--10	PIC	PIC2010	17	1.622799544	29.236	59.409	2.1	2.55	46.1	19.42	14.26	11	70	78.7	17	19.1	1	1.1	1	1.1	0	0	18.2	36.4	45.5	0	1.1	93.3	0	5.6	0	63.6	27.3	0	9.1	6	4	5	1	1	1.343789894	0.397501496	1.414279065	0	0
PIC20-20	PIC	PIC2020	18	1.508788179	38.157	56.943	2.16	2.07	50.34	31.16	21.36	14	67	77.9	14	16.3	1	1.2	4	4.7	0	0	0	85.7	14.3	0	2.3	86	5.8	4.7	1.2	92.9	7.1	0	0	8	4	3	2	1	1.908535282	0.259603178	0.655975733	0.562335145	0
PIC20-30	PIC	PIC2030	13	1.577804015	47.903	57.361	2.16	2.67	47.24	27.57	42.77	24	61	80.3	12	15.8	2	2.6	1	1.3	0	66.7	0	33.3	0	0	0	88.2	7.9	3.9	0	33.3	66.7	0	0	4	4	3	1	1	1.198849313	0.351260879	1.077556327	0	0
PIC20-40	PIC	PIC2040	15	1.403355949	58.476	56.244	2.05	2.19	48.91	11.39	27.73	26	67	90.5	6	8.1	0	0	1	1.4	0	0	19.2	23.1	50	7.7	0	94.6	5.4	0	0	80.8	19.2	0	0	5	3	6	1	0	1.560710409	0.843002283	1.432713584	0	0
PIC30-0	PIC	PIC300	13	1.950550179	17.816	49.581	2.14	2.58	28.18	24.4	10.34	12	33	37.5	54	61.4	0	0	1	1.1	0	0	0	83.3	16.7	0	0	89.8	6.8	3.4	0	41.7	58.3	0	0	6	3	3	1	0	1.240663041	0.194171486	0.959614794	0	0
PIC30--10	PIC	PIC3010	27	2.122815434	28.22	49.759	2.19	2.6	52.32	38.06	17.68	10	64	71.1	22	24.4	2	2.2	2	2.2	0	20	30	50	0	0	4.4	80	8.9	5.6	1.1	40	60	0	0	13	5	5	2	2	2.491493722	1.128119124	1.470808476	0.693147181	0.693147181
PIC30-20	PIC	PIC3020	25	2.293746645	38.697	47.469	2.25	3.05	44.14	41.23	15.41	21	50	63.3	22	27.8	3	3.8	4	5.1	0	4.8	19	66.7	9.5	0	0	78.5	17.7	3.8	0	42.9	33.3	0	23.8	10	3	9	1	2	2.122057746	0.413921768	1.926433029	0	0.636514169
